Name	Unique ID	Tier 1	Tier 2	Tier 3	Unique ID	Name
Entertainment Memorabilia	1079	Collectables and Antiques	Entertainment Memorabilia		239	Hobbies & Interests
Sports Memorabilia and Trading Cards	1080	Collectables and Antiques	Sports Memorabilia and Trading Cards		239	Hobbies & Interests
Stamps	1081	Collectables and Antiques	Stamps		263	Stamps and Coins
Computer Software	1082	Computer Software			602	Computer Software and Applications
Enterprise Computer Software	1083	Computer Software	Enterprise Computer Software		602	Computer Software and Applications
Personal Computer Software	1084	Computer Software	Personal Computer Software		602	Computer Software and Applications
Toolbars	1085	Computer Software	Toolbars		596	Technology & Computing
Browser Extensions 	1086	Computer Software	Browser Extensions 		596	Technology & Computing
Downloadable Utilities	1087	Computer Software	Downloadable Utilities		596	Technology & Computing
Cosmetic Services	1088	Cosmetic Services			323	Cosmetic Medical Services
Beauty Salons	1089	Cosmetic Services	Beauty Salons		553	Beauty
Hair Salons	1090	Cosmetic Services	Hair Salons		554	Hair Care
Hair Removal	1091	Cosmetic Services	Hair Removal		594	Shaving
Hair Restoration	1092	Cosmetic Services	Hair Restoration		554	Hair Care
Nail Salons	1093	Cosmetic Services	Nail Salons		556	Nail Care
Med Spas	1094	Cosmetic Services	Med Spas		323	Cosmetic Medical Services
Piercing and Tattooing	1095	Cosmetic Services	Piercing and Tattooing		553	Beauty
Tanning Salons	1096	Cosmetic Services	Tanning Salons		553	Beauty
Consumer Electronics	1097	Consumer Electronics			632	Consumer Electronics
Arcade Equipment	1098	Consumer Electronics	Arcade Equipment		632	Consumer Electronics
Camcorders	1099	Consumer Electronics	Camcorders		633	Cameras and Camcorders
Cameras and Photo	1100	Consumer Electronics	Cameras and Photo		633	Cameras and Camcorders
Camera and Photo Accessories	1101	Consumer Electronics	Cameras and Photo	Camera and Photo Accessories	633	Cameras and Camcorders
Cameras	1102	Consumer Electronics	Cameras and Photo	Cameras	633	Cameras and Camcorders
Photo Applications	1103	Consumer Electronics	Cameras and Photo	Photo Applications	633	Cameras and Camcorders
Circuit Boards and Components	1104	Consumer Electronics	Circuit Boards and Components		632	Consumer Electronics
Communications Electronics	1105	Consumer Electronics	Communications Electronics		632	Consumer Electronics
Computers	1106	Consumer Electronics	Computers		632	Consumer Electronics
Laptops	1107	Consumer Electronics	Computers	Laptops	630	Laptops
Desktops	1108	Consumer Electronics	Computers	Desktops	617	Desktops
E-Readers	1109	Consumer Electronics	E-Readers		636	Tablets and E-readers
Electronics Accessories	1110	Consumer Electronics	Electronics Accessories		632	Consumer Electronics
Headphones	1111	Consumer Electronics	Headphones		632	Consumer Electronics
Home Theater Systems	1112	Consumer Electronics	Home Theater Systems		634	Home Entertainment Systems
Marine Electronics	1113	Consumer Electronics	Marine Electronics		632	Consumer Electronics
Mobile Phones and Accessories	1114	Consumer Electronics	Mobile Phones and Accessories		635	Smartphones
Networking	1115	Consumer Electronics	Networking		600	Computer Networking
Printers/Copiers/Scanners/Fax	1116	Consumer Electronics	Printers/Copiers/Scanners/Fax		600	Computer Networking
Security Devices	1117	Consumer Electronics	Security Devices		600	Computer Networking
Tablets	1118	Consumer Electronics	Tablets		636	Tablets and E-readers
Televisions	1119	Consumer Electronics	Televisions		640	Television
Video Games and Consoles	1120	Consumer Electronics	Video Games		680	Video Gaming
Video Games and Consoles	1121	Consumer Electronics	Video Game Consoles		680	Video Gaming
Video Game Console Accessories	1122	Consumer Electronics	Video Game Console Accessories		680	Video Gaming
Consumer Packaged Goods	1123	Consumer Packaged Goods			210	Food & Drink
Baby and Toddler Products	1124	Consumer Packaged Goods	Baby and Toddler Products		192	Parenting
Diapers	1125	Consumer Packaged Goods	Baby and Toddler Products	Diapers	192	Parenting
Nursing and Feeding Products	1126	Consumer Packaged Goods	Baby and Toddler Products	Nursing and Feeding Products	192	Parenting
Back to School Supplies	1127	Consumer Packaged Goods	Back to School Supplies		132	Education
Barbeque	1128	Consumer Packaged Goods	Barbeque		210	Food & Drink
Charcoal	1129	Consumer Packaged Goods	Barbeque	Charcoal	210	Food & Drink
Charcoal Lighter Fluids	1130	Consumer Packaged Goods	Barbeque	Charcoal Lighter Fluids	210	Food & Drink
Beverages	1131	Consumer Packaged Goods	Beverages		210	Food & Drink
Carbonated Soft Drinks	1132	Consumer Packaged Goods	Beverages	Carbonated Soft Drinks	210	Food & Drink
Coffee and Tea	1133	Consumer Packaged Goods	Beverages	Coffee and Tea	210	Food & Drink
Drink Mixes	1134	Consumer Packaged Goods	Beverages	Drink Mixes	210	Food & Drink
Juices	1135	Consumer Packaged Goods	Beverages	Juices	210	Food & Drink
Sports/Energy Drinks	1136	Consumer Packaged Goods	Beverages	Sports/Energy Drinks	210	Food & Drink
Water	1137	Consumer Packaged Goods	Beverages	Water	210	Food & Drink
Cosmetics	1138	Consumer Packaged Goods	Cosmetics		553	Beauty
Cosmetics Accessories	1139	Consumer Packaged Goods	Cosmetics	Cosmetics Accessories	553	Beauty
Cosmetics-Nail	1140	Consumer Packaged Goods	Cosmetics	Cosmetics-Nail	553	Beauty
Eye	1141	Consumer Packaged Goods	Cosmetics	Eye	553	Beauty
Facial	1142	Consumer Packaged Goods	Cosmetics	Facial	553	Beauty
Lip	1143	Consumer Packaged Goods	Cosmetics	Lip	553	Beauty
Storage	1144	Consumer Packaged Goods	Cosmetics	Storage	553	Beauty
Disposable Tableware	1145	Consumer Packaged Goods	Disposable Tableware		161	Party Supplies and Decorations
Cups and Plates	1146	Consumer Packaged Goods	Disposable Tableware	Cups and Plates	161	Party Supplies and Decorations
Disposable Tableware	1147	Consumer Packaged Goods	Disposable Tableware	Disposable Tableware	161	Party Supplies and Decorations
Foils, Wraps, and Bags	1148	Consumer Packaged Goods	Foils, Wraps, and Bags		479	Household Supplies
Foil Pans	1149	Consumer Packaged Goods	Foils, Wraps, and Bags	Foil Pans	479	Household Supplies
Foils and Wraps	1150	Consumer Packaged Goods	Foils, Wraps, and Bags	Foils and Wraps	479	Household Supplies
Food and Trash Bags	1151	Consumer Packaged Goods	Foils, Wraps, and Bags	Food and Trash Bags	479	Household Supplies
Fragrance	1152	Consumer Packaged Goods	Fragrance		553	Beauty
Fragrances - Women's	1153	Consumer Packaged Goods	Fragrance	Fragrances - Women's	553	Beauty
Shaving Lotion/Men's Fragrance	1154	Consumer Packaged Goods	Fragrance	Shaving Lotion/Men's Fragrance	553	Beauty
Frozen	1155	Consumer Packaged Goods	Frozen		210	Food & Drink
Frozen Baked Goods	1156	Consumer Packaged Goods	Frozen	Frozen Baked Goods	210	Food & Drink
Frozen Beverages	1157	Consumer Packaged Goods	Frozen	Frozen Beverages	210	Food & Drink
Frozen Desserts	1158	Consumer Packaged Goods	Frozen	Frozen Desserts	210	Food & Drink
Frozen Fruits and Vegetables	1159	Consumer Packaged Goods	Frozen	Frozen Fruits and Vegetables	210	Food & Drink
Frozen Juices	1160	Consumer Packaged Goods	Frozen	Frozen Juices	210	Food & Drink
Frozen Meals	1161	Consumer Packaged Goods	Frozen	Frozen Meals	210	Food & Drink
Frozen Meat/Poultry/Seafood	1162	Consumer Packaged Goods	Frozen	Frozen Meat/Poultry/Seafood	210	Food & Drink
Frozen Snacks	1163	Consumer Packaged Goods	Frozen	Frozen Snacks	210	Food & Drink
Other Frozen	1164	Consumer Packaged Goods	Frozen	Other Frozen	210	Food & Drink
General Food	1165	Consumer Packaged Goods	General Food		210	Food & Drink
Baby Food	1166	Consumer Packaged Goods	General Food	Baby Food	210	Food & Drink
Bakery	1167	Consumer Packaged Goods	General Food	Bakery	210	Food & Drink
Baking	1168	Consumer Packaged Goods	General Food	Baking	210	Food & Drink
Breakfast	1169	Consumer Packaged Goods	General Food	Breakfast	210	Food & Drink
Candy	1170	Consumer Packaged Goods	General Food	Candy	210	Food & Drink
Condiments and Sauces	1171	Consumer Packaged Goods	General Food	Condiments and Sauces	210	Food & Drink
Cookies and Crackers	1172	Consumer Packaged Goods	General Food	Cookies and Crackers	210	Food & Drink
Fruit	1173	Consumer Packaged Goods	General Food	Fruit	210	Food & Drink
Meals	1174	Consumer Packaged Goods	General Food	Meals	210	Food & Drink
Snacks	1175	Consumer Packaged Goods	General Food	Snacks	210	Food & Drink
Vegetables	1176	Consumer Packaged Goods	General Food	Vegetables	210	Food & Drink
General Merchandise	1177	Consumer Packaged Goods	General Merchandise		473	Shopping
Grooming Supplies	1178	Consumer Packaged Goods	Grooming Supplies		553	Beauty
Hair Care	1179	Consumer Packaged Goods	Hair Care		553	Beauty
Hair Accessories	1180	Consumer Packaged Goods	Hair Care	Hair Accessories	554	Hair Care
Hair Coloring	1181	Consumer Packaged Goods	Hair Care	Hair Coloring	554	Hair Care
Hair Conditioner	1182	Consumer Packaged Goods	Hair Care	Hair Conditioner	554	Hair Care
Hair Growth Products	1183	Consumer Packaged Goods	Hair Care	Hair Growth Products	554	Hair Care
Hair Spray/Spritz	1184	Consumer Packaged Goods	Hair Care	Hair Spray/Spritz	554	Hair Care
Hair Styling Gel/Mousse	1185	Consumer Packaged Goods	Hair Care	Hair Styling Gel/Mousse	554	Hair Care
Home Permanent/Relaxer Kits	1186	Consumer Packaged Goods	Hair Care	Home Permanent/Relaxer Kits	554	Hair Care
Shampoo	1187	Consumer Packaged Goods	Hair Care	Shampoo	554	Hair Care
HFSS Products [High Fat, Sugar, Salt]	1188	Consumer Packaged Goods	HFSS Products [High Fat, Sugar, Salt]		210	Food & Drink
Home Care	1189	Consumer Packaged Goods	Home Care		274	Home & Garden
Household Cleaning	1190	Consumer Packaged Goods	Home Care	Household Cleaning	274	Home & Garden
Laundry	1191	Consumer Packaged Goods	Home Care	Laundry	274	Home & Garden
Hosiery	1192	Consumer Packaged Goods	Hosiery		552	Style & Fashion
Pantyhose/Nylons	1193	Consumer Packaged Goods	Hosiery	Pantyhose/Nylons	552	Style & Fashion
Socks	1194	Consumer Packaged Goods	Hosiery	Socks	552	Style & Fashion
Tights	1195	Consumer Packaged Goods	Hosiery	Tights	552	Style & Fashion
Household/Plastics/Storage	1196	Consumer Packaged Goods	Household/Plastics/Storage		274	Home & Garden
Bottles	1197	Consumer Packaged Goods	Household/Plastics/Storage	Bottles	210	Food & Drink
Drinkware	1198	Consumer Packaged Goods	Household/Plastics/Storage	Drinkware	210	Food & Drink
Household Plastics	1199	Consumer Packaged Goods	Household/Plastics/Storage	Household Plastics	210	Food & Drink
Kitchen Storage	1200	Consumer Packaged Goods	Household/Plastics/Storage	Kitchen Storage	274	Home & Garden
Meal Kits	1201	Consumer Packaged Goods	Meal Kits		210	Food & Drink
Miscellaneous General Merch	1202	Consumer Packaged Goods	Miscellaneous General Merch		473	Shopping
Office/School Supplies	1203	Consumer Packaged Goods	Office/School Supplies		132	Education
Children's Art Supplies	1204	Consumer Packaged Goods	Office/School Supplies	Children's Art Supplies	132	Education
Computer Disks Frmtd/UnFrmtd	1205	Consumer Packaged Goods	Office/School Supplies	Computer Disks Frmtd/UnFrmtd	596	Technology & Computing
Office Products	1206	Consumer Packaged Goods	Office/School Supplies	Office Products	123	Careers
Writing Instruments	1207	Consumer Packaged Goods	Office/School Supplies	Writing Instruments	132	Education
Over the Counter Medication	1208	Consumer Packaged Goods	Over the Counter Medication		286	Medical Health
Paper Products	1209	Consumer Packaged Goods	Paper Products		274	Home & Garden
Facial Tissue	1210	Consumer Packaged Goods	Paper Products	Facial Tissue	553	Beauty
Paper Napkins	1211	Consumer Packaged Goods	Paper Products	Paper Napkins	210	Food & Drink
Paper Towels	1212	Consumer Packaged Goods	Paper Products	Paper Towels	210	Food & Drink
Toilet Tissue	1213	Consumer Packaged Goods	Paper Products	Toilet Tissue	274	Home & Garden
Personal Care	1214	Consumer Packaged Goods	Personal Care		590	Personal Care
Personal Cleansing	1215	Consumer Packaged Goods	Personal Cleansing		590	Personal Care
Bath Products	1216	Consumer Packaged Goods	Personal Cleansing	Bath Products	591	Bath and Shower
Bath/Body Scrubbers/Massagers	1217	Consumer Packaged Goods	Personal Cleansing	Bath/Body Scrubbers/Massagers	591	Bath and Shower
Deodorant	1218	Consumer Packaged Goods	Personal Cleansing	Deodorant	592	Deoderant and Antipersperant
Moist Towelettes	1219	Consumer Packaged Goods	Personal Cleansing	Moist Towelettes	590	Personal Care
Soap	1220	Consumer Packaged Goods	Personal Cleansing	Soap	591	Bath and Shower
Pest Control	1221	Consumer Packaged Goods	Pest Control		274	Home & Garden
Outdoor Insect/Rodent Control Chem	1222	Consumer Packaged Goods	Pest Control	Outdoor Insect/Rodent Control Chem	274	Home & Garden
Pest Control	1223	Consumer Packaged Goods	Pest Control	Pest Control	274	Home & Garden
Pet Care	1224	Consumer Packaged Goods	Pet Care		422	Pets
Cat/Dog Litter	1225	Consumer Packaged Goods	Pet Care	Cat/Dog Litter	431	Pet Supplies
Pet Food	1226	Consumer Packaged Goods	Pet Care	Pet Food	431	Pet Supplies
Pet Supplies	1227	Consumer Packaged Goods	Pet Care	Pet Supplies	431	Pet Supplies
Pet Treats	1228	Consumer Packaged Goods	Pet Care	Pet Treats	431	Pet Supplies
Refrigerated	1229	Consumer Packaged Goods	Refrigerated		210	Food & Drink
Dairy	1230	Consumer Packaged Goods	Refrigerated	Dairy	210	Food & Drink
Refrigerated Baked Goods	1231	Consumer Packaged Goods	Refrigerated	Refrigerated Baked Goods	210	Food & Drink
Refrigerated Beverages	1232	Consumer Packaged Goods	Refrigerated	Refrigerated Beverages	210	Food & Drink
Refrigerated Condiments	1233	Consumer Packaged Goods	Refrigerated	Refrigerated Condiments	210	Food & Drink
Refrigerated Desserts	1234	Consumer Packaged Goods	Refrigerated	Refrigerated Desserts	210	Food & Drink
Refrigerated Dough	1235	Consumer Packaged Goods	Refrigerated	Refrigerated Dough	210	Food & Drink
Refrigerated Meals	1236	Consumer Packaged Goods	Refrigerated	Refrigerated Meals	210	Food & Drink
Refrigerated Meats	1237	Consumer Packaged Goods	Refrigerated	Refrigerated Meats	210	Food & Drink
Refrigerated Miscellaneous	1238	Consumer Packaged Goods	Refrigerated	Refrigerated Miscellaneous	210	Food & Drink
Religious Items	1239	Consumer Packaged Goods	Religious Items		594	Shaving
Shaving	1240	Consumer Packaged Goods	Shaving		594	Shaving
Blades	1241	Consumer Packaged Goods	Shaving	Blades	594	Shaving
Razors	1242	Consumer Packaged Goods	Shaving	Razors	594	Shaving
Shaving Cream	1243	Consumer Packaged Goods	Shaving	Shaving Cream	594	Shaving
Skin Care	1244	Consumer Packaged Goods	Skin Care		553	Beauty
Hand and Body Lotion	1245	Consumer Packaged Goods	Skin Care	Hand and Body Lotion	553	Beauty
Skin Care	1246	Consumer Packaged Goods	Skin Care	Skin Care	553	Beauty
Suntan Products	1247	Consumer Packaged Goods	Skin Care	Suntan Products	553	Beauty
Toys and Games	1248	Consumer Packaged Goods	Toys and Games		239	Hobbies & Interests
Games	1249	Consumer Packaged Goods	Toys and Games	Games	269	Games and Puzzles
Outdoor Play Equipment	1250	Consumer Packaged Goods	Toys and Games	Outdoor Play Equipment	239	Hobbies & Interests
Puzzles	1251	Consumer Packaged Goods	Toys and Games	Puzzles	269	Games and Puzzles
Toys	1252	Consumer Packaged Goods	Toys and Games	Toys	239	Hobbies & Interests
Vitamins and Supplements	1253	Consumer Packaged Goods	Vitamins and Supplements		234	Herbs and Supplements
Digestive Supplements	1254	Consumer Packaged Goods	Vitamins and Supplements	Digestive Supplements	223	Healthy Living
Weightloss Supplements	1255	Consumer Packaged Goods	Vitamins and Supplements	Weightloss Supplements	231	Weight Loss
Water Treatment	1256	Consumer Packaged Goods	Water Treatment		280	Home Improvement
Water Filter/Devices	1257	Consumer Packaged Goods	Water Treatment	Water Filter/Devices	280	Home Improvement
Water Softeners/Treatment	1258	Consumer Packaged Goods	Water Treatment	Water Softeners/Treatment	280	Home Improvement
Dating	1259	Dating			188	Dating
Casual Relationships	1260	Dating	Casual Relationships		188	Dating
Serious Relationships	1261	Dating	Serious Relationships		188	Dating
Debated Sensitive Social Issue	1262	Debated Sensitive Social Issue			v9i3On	Sensitive Topics
Dieting and Weightloss	1263	Dieting and Weightloss			231	Weight Loss
Food Logging	1264	Dieting and Weightloss	Food Logging		231	Weight Loss
Weightloss Servies	1265	Dieting and Weightloss	Weightloss Servies		231	Weight Loss
Workout and Step Tracking Applications	1266	Dieting and Weightloss	Workout and Step Tracking Applications		231	Weight Loss
Durable Goods	1267	Durable Goods			274	Home & Garden
Electronics/Photography	1268	Durable Goods	Electronics/Photography		255	Photography
Batteries	1269	Durable Goods	Electronics/Photography	Batteries	255	Photography
Blank Audio/Video Media	1270	Durable Goods	Electronics/Photography	Blank Audio/Video Media	255	Photography
Photography Supplies	1271	Durable Goods	Electronics/Photography	Photography Supplies	255	Photography
Furniture	1272	Durable Goods	Furniture		283	Interior Decorating
Indoor Furniture	1273	Durable Goods	Furniture	Indoor Furniture	283	Interior Decorating
Outdoor Furniture	1274	Durable Goods	Furniture	Outdoor Furniture	283	Interior Decorating
Grooming Supplies	1275	Durable Goods	Grooming Supplies		553	Beauty
Electric Shaver Groomer	1276	Durable Goods	Grooming Supplies	Electric Shaver Groomer	594	Shaving
Hair Appliances	1277	Durable Goods	Grooming Supplies	Hair Appliances	554	Hair Care
Tools and Hardware	1278	Durable Goods	Tools and Hardware		274	Home & Garden
Consumer Hardware Supplies	1279	Durable Goods	Tools and Hardware	Consumer Hardware Supplies	274	Home & Garden
Industrial Hardware Supplies	1280	Durable Goods	Tools and Hardware	Industrial Hardware Supplies	90	Industries
Home and Garden Products	1281	Durable Goods	Home and Garden Products		274	Home & Garden
Bathroom Accessories	1282	Durable Goods	Home and Garden Products	Bathroom Accessories	283	Interior Decorating
Bedroom Furniture and Accessories	1283	Durable Goods	Home and Garden Products	Bedroom Furniture and Accessories	283	Interior Decorating
Carpets and Rugs	1284	Durable Goods	Home and Garden Products	Carpets and Rugs	283	Interior Decorating
Fireplaces	1285	Durable Goods	Home and Garden Products	Fireplaces	283	Interior Decorating
Home Decor	1286	Durable Goods	Home and Garden Products	Home Decor	283	Interior Decorating
Housewares	1287	Durable Goods	Home and Garden Products	Housewares	283	Interior Decorating
Kitchen and Dining Products	1288	Durable Goods	Home and Garden Products	Kitchen and Dining Products	283	Interior Decorating
Lawn and Garden Products	1289	Durable Goods	Home and Garden Products	Lawn and Garden Products	284	Landscaping
Lighting	1290	Durable Goods	Home and Garden Products	Lighting	283	Interior Decorating
Linens and Bedding	1291	Durable Goods	Home and Garden Products	Linens and Bedding	283	Interior Decorating
Plants	1292	Durable Goods	Home and Garden Products	Plants	284	Landscaping
Household Appliances	1293	Durable Goods	Household Appliances		274	Home & Garden
Luggage and Bags	1294	Durable Goods	Luggage and Bags		653	Travel
Education and Careers	1295	Education and Careers			132	Education
Adult Education	1296	Education and Careers	Adult Education		133	Adult Education
Certificaiton Programs	1297	Education and Careers	Certificaiton Programs		132	Education
Colleges and Universities	1298	Education and Careers	Colleges and Universities		137	College Education
Post-Graduate Education	1299	Education and Careers	Colleges and Universities	Post-Graduate Education	139	Postgraduate education
Education Applications	1300	Education and Careers	Education Applications		132	Education
Employment Agencies	1301	Education and Careers	Employment Agencies		123	Careers
Higher Education	1302	Education and Careers	Higher Education		135	Secondary Education
Language Learning	1303	Education and Careers	Language Learning		147	Language Learning
Online Education	1304	Education and Careers	Online Education		148	Online Education
Primary Education	1305	Education and Careers	Primary Education		149	Primary Education
Remote work and school	1306	Education and Careers	Remote work and school		123	Careers
Distance learning	1307	Education and Careers	Remote work and school	Distance learning	130	Remote Working
Homeschooling	1308	Education and Careers	Remote work and school	Homeschooling	145	Homeschooling
Online Surveys	1309	Education and Careers	Remote work and school	Online Surveys	123	Careers
Multi-Level Marketing	1310	Education and Careers	Remote work and school	Multi-Level Marketing	123	Careers
Telecommuting	1311	Education and Careers	Remote work and school	Telecommuting	123	Careers
Study Skills	1312	Education and Careers	Study Skills		132	Education
Teaching Resources	1313	Education and Careers	Teaching Resources		132	Education
Trade Schools	1314	Education and Careers	Trade Schools		132	Education
Events and Performances	1315	Events and Performances			150	Events and Attractions
Auctions	1316	Events and Performances	Auctions		150	Events and Attractions
Cinemas and Movie Events	1317	Events and Performances	Cinemas and Movie Events		182	Cinemas and Events
Comedy Events	1318	Events and Performances	Comedy Events		183	Comedy Events
Concerts	1319	Events and Performances	Concerts		184	Concerts & Music Events
Conferences, Lectures and Workshops	1320	Events and Performances	Conferences, Lectures and Workshops		150	Events and Attractions
Exhibitions	1321	Events and Performances	Exhibitions		150	Events and Attractions
Fan Conventions	1322	Events and Performances	Fan Conventions		185	Fan Conventions
Fashion Events	1323	Events and Performances	Fashion Events		150	Events and Attractions
Nightlife Experiences	1324	Events and Performances	Nightlife Experiences		158	Nightclubs
Sporting Events	1325	Events and Performances	Sporting Events		176	Sporting Events
Seasonal and Holiday Events	1326	Events and Performances	Seasonal and Holiday Events		150	Events and Attractions
Theatre and Musicals	1327	Events and Performances	Theatre and Musicals		177	Theater Venues and Events
Family and Parenting	1328	Family and Parenting			186	Family and Relationships
Childcare	1329	Family and Parenting	Childcare		194	Daycare and Pre-School
Day Care Centers	1330	Family and Parenting	Childcare	Day Care Centers	194	Daycare and Pre-School
Nanny Services	1331	Family and Parenting	Childcare	Nanny Services	186	Family and Relationships
Genealogy and Family Trees	1332	Family and Parenting	Genealogy and Family Trees		186	Family and Relationships
Kids Activities	1333	Family and Parenting	Kids Activities		186	Family and Relationships
Senior Living	1334	Family and Parenting	Senior Living		190	Eldercare
